Region,Language,Title,Description,MiniFAD
,ar,تخفيضات مذهلة على الإضافات,وفر حتى 45% على محتويات ألعاب إضافية محددة من تخفيضات مذهلة على الألعاب. ينتهي التخفيض في 8/11.,توفير يصل إلى45%
,cs,Superakce na doplňky,Ušetřete až 45 % za vybrané doplňky pro hry v Superakci na hry. Prodejní akce končí 11.8.,Ušetřete až 45 %
,da,Det ultimative tilbud på udvidelser,Spar op til 45 % på udvalgte spiludvidelser fra det ultimative spiludsalg. Udsalget slutter 11/8.,Spar op til 45 %
DE,de,Ultimate Add-On Sale,Spare bis zu 45 % bei ausgewählten Add-ons für Spiele aus dem Ultimate Game Sale. Nur bis 11.8.,Spare bis zu 45 %
,de,Ultimate Add-On Sale,Spare bis zu 45 % bei ausgewählten Add-ons für Spiele aus dem Ultimate Game Sale. Nur bis 11.8.,Spare bis zu 45 %
,el,Απόλυτες εκπτώσεις σε πρόσθετα,Εξοικονομήστε έως και 45% σε επιλεγμένα πρόσθετα για παιχνίδια από τις απόλυτες εκπτώσεις σε παιχνίδια. Η προσφορά λήγει στις DD/ΜΜ.,Εξοικονομήστε έως και 45%
AU,en,Ultimate Add-On Sale,Save up to 45% on select add-ons for games from Ultimate Game Sale.  Sale ends 11/8.,Save up to 45%
CA,en,Ultimate Add-On Sale,Save up to 60% on select add-ons for games from Ultimate Game Sale.  Sale ends DD/MM.,Save up to 60%
GB,en,Ultimate Add-On Sale,Save up to 60% on select add-ons for games from Ultimate Game Sale.  Sale ends 11/8.,Save up to 60%
US,en,Ultimate Add-On Sale,Save up to 60% on select add-ons for games from Ultimate Game Sale.  Sale ends 8/11.,Save up to 60%
,en,Ultimate Add-On Sale,Save up to 45% on select add-ons for games from Ultimate Game Sale.  Sale ends 11/8.,Save up to 45%
ES,es,Súper Ofertas en Complementos,Ahorra hasta un 45 % en complementos seleccionados para juegos de la Gran oferta en juegos. La oferta termina el 11/8.,Ahorra hasta un 45%
MX,es,Súper Ofertas en Complementos,Ahorra hasta un 45 % en complementos seleccionados para juegos de la Gran oferta en juegos. La oferta termina el 11/8.,Ahorra hasta un 45%
,es,Súper Ofertas en Complementos,Ahorra hasta 45% en complementos seleccionados para juegos en el Súper Ofertas en Juegos. La oferta termina el 11/8.,Ahorra hasta un 45%
,fi,Huikea lisäosa-ale,Säästä jopa 45 % valituista huikean pelialen pelien lisäosista. Alennusmyynti päättyy 11.8.,Säästä jopa 45 %
CA,fr,Offres Ultimes sur des Extensions,Économisez jusqu’à 60 % sur une sélection d’extensions pour jeux durant l’offre ultime sur les jeux. La vente prend fin le 11/8.,Économisez jusqu’à 60 %
FR,fr,Offres Ultimes sur des Extensions,Économisez jusqu’à 45 % sur une sélection d’extensions de jeux issues des Offres Ultimes. Offre valable jusqu’au 11/8.,Économisez jusqu’à 45 %
,fr,Offres Ultimes sur des Extensions,Économisez jusqu’à 45 % sur une sélection d’extensions de jeux issues des Offres Ultimes. Offre valable jusqu’au 11/8.,Économisez jusqu’à 45 %
,he,מבצע התוספות האולטימטיבי,חסוך עד %45 על הרחבות נבחרות למשחקים ממבצע המשחקים האולטימטיבי. המבצע יסתיים ב- 11/8.,חסוך עד %45
,hu,Nagyszabású akció a kiegészítőkre,Spórolj akár 45%-ot a Hatalmas játékakcióba tartozó játékok egyes kiegészítőin. Az akció 8. 11-ig tart.,Akár 45%-os megtakarítás
,it,Sconti speciali sugli add-on,Risparmia fino al 45% su add-on selezionati per giochi delle offerte speciali sui giochi. L’offerta termina il 11/8.,Risparmia fino al 45%
,ja,Ultimate アドオン セール,Ultimate ゲーム セール対象ゲームの厳選アドオンが、最大 33% オフ。セールは 8 月 11 日まで。,最大 45% お得
,ko,역대급 추가 기능 할인 이벤트,역대급 게임 할인의 엄선된 추가 콘텐츠를 최대 45% 할인된 가격에 만나보세요. 할인 행사는 8월 11일에 종료됩니다.,최대 45% 할인
