Locale,items/0/title,items/0/subtitle,items/0/narratorText
Locale,WWWWWWWWWWWWWWW,WWWWWWWWWWWWWWW,Narrator Text
AR-AE,COD: Black Ops 6 & Warzone,مارس الموسم 05 الآن,COD: Black Ops 6 & Warzone
AR-SA,COD: Black Ops 6 & Warzone,مارس الموسم 05 الآن,COD: Black Ops 6 & Warzone
CS-CZ,COD: Black Ops 6 & Warzone,Zahrajte si nyní 05. sezónu,COD: Black Ops 6 & Warzone
DA-DK,COD: Black Ops 6 & Warzone,Spil sæson 05,COD: Black Ops 6 & Warzone
DE-AT,COD: Black Ops 6 & Warzone,Spiele jetzt Saison 5,COD: Black Ops 6 & Warzone
DE-CH,COD: Black Ops 6 & Warzone,Spiele jetzt Saison 5,COD: Black Ops 6 & Warzone
DE-DE,COD: Black Ops 6 & Warzone,Spiele jetzt Saison 5,COD: Black Ops 6 & Warzone
EL-GR,COD: Black Ops 6 & Warzone,Παίξτε τη Σεζόν 05 τώρα,COD: Black Ops 6 & Warzone
EN-AE,COD: Black Ops 6 & Warzone,Play Season 05 now,COD: Black Ops 6 & Warzone
EN-AU,COD: Black Ops 6 & Warzone,Play Season 05 now,COD: Black Ops 6 & Warzone
EN-CA,COD: Black Ops 6 & Warzone,Play Season 05 now,COD: Black Ops 6 & Warzone
EN-CZ,COD: Black Ops 6 & Warzone,Play Season 05 now,COD: Black Ops 6 & Warzone
EN-GB,COD: Black Ops 6 & Warzone,Play Season 05 now,COD: Black Ops 6 & Warzone
EN-GR,COD: Black Ops 6 & Warzone,Play Season 05 now,COD: Black Ops 6 & Warzone
EN-HK,COD: Black Ops 6 & Warzone,Play Season 05 now,COD: Black Ops 6 & Warzone
EN-HU,COD: Black Ops 6 & Warzone,Play Season 05 now,COD: Black Ops 6 & Warzone
EN-IE,COD: Black Ops 6 & Warzone,Play Season 05 now,COD: Black Ops 6 & Warzone
EN-IL,COD: Black Ops 6 & Warzone,Play Season 05 now,COD: Black Ops 6 & Warzone
EN-IN,COD: Black Ops 6 & Warzone,Play Season 05 now,COD: Black Ops 6 & Warzone
EN-NZ,COD: Black Ops 6 & Warzone,Play Season 05 now,COD: Black Ops 6 & Warzone
EN-SA,COD: Black Ops 6 & Warzone,Play Season 05 now,COD: Black Ops 6 & Warzone
EN-SG,COD: Black Ops 6 & Warzone,Play Season 05 now,COD: Black Ops 6 & Warzone
EN-SK,COD: Black Ops 6 & Warzone,Play Season 05 now,COD: Black Ops 6 & Warzone
EN-US,COD: Black Ops 6 & Warzone,Play Season 05 now,COD: Black Ops 6 & Warzone
EN-ZA,COD: Black Ops 6 & Warzone,Play Season 05 now,COD: Black Ops 6 & Warzone
ES-AR,COD: Black Ops 6 & Warzone,Juega a Temporada 5,COD: Black Ops 6 & Warzone
ES-CL,COD: Black Ops 6 & Warzone,Juega a Temporada 5,COD: Black Ops 6 & Warzone
ES-CO,COD: Black Ops 6 & Warzone,Juega a Temporada 5,COD: Black Ops 6 & Warzone
ES-ES,COD: Black Ops 6 & Warzone,Juega a Temporada 5,COD: Black Ops 6 & Warzone
ES-MX,COD: Black Ops 6 & Warzone,Juega a Temporada 5,COD: Black Ops 6 & Warzone
FI-FI,COD: Black Ops 6 & Warzone,Pelaa Kauden 05 nyt,COD: Black Ops 6 & Warzone
FR-BE,COD: Black Ops 6 & Warzone,Jouez à La Saison 5,COD: Black Ops 6 & Warzone
FR-CA,COD: Black Ops 6 & Warzone,Jouez à La Saison 5,COD: Black Ops 6 & Warzone
FR-CH,COD: Black Ops 6 & Warzone,Jouez à La Saison 5,COD: Black Ops 6 & Warzone
FR-FR,COD: Black Ops 6 & Warzone,Jouez à La Saison 5,COD: Black Ops 6 & Warzone
HE-IL,COD: Black Ops 6 & Warzone,שחק ב-Season 05 עכשיו,COD: Black Ops 6 & Warzone
HU-HU,COD: Black Ops 6 & Warzone,Játssz a 05. évaddal most,COD: Black Ops 6 & Warzone
IT-CH,COD: Black Ops 6 & Warzone,Gioca la Stagione 5,COD: Black Ops 6 & Warzone
IT-IT,COD: Black Ops 6 & Warzone,Gioca la Stagione 5,COD: Black Ops 6 & Warzone
JA-JP,COD: Black Ops 6 & Warzone,シーズン 05 を今すぐプレイ,COD: Black Ops 6 & Warzone
KO-KR,COD: Black Ops 6 & Warzone,지금 시즌 05 플레이하기,COD: Black Ops 6 & Warzone
NB-NO,COD: Black Ops 6 & Warzone,Spill sesong 05 nå,COD: Black Ops 6 & Warzone
NL-BE,COD: Black Ops 6 & Warzone,Speel nu seizoen 05,COD: Black Ops 6 & Warzone
NL-NL,COD: Black Ops 6 & Warzone,Speel nu seizoen 05,COD: Black Ops 6 & Warzone
PL-PL,COD: Black Ops 6 & Warzone,Graj w Sezon 05 już teraz,COD: Black Ops 6 & Warzone
PT-BR,COD: Black Ops 6 & Warzone,Jogue a Temporada 05,COD: Black Ops 6 & Warzone
PT-PT,COD: Black Ops 6 & Warzone,Joga a Temporada 05 agora,COD: Black Ops 6 & Warzone
SK-SK,COD: Black Ops 6 & Warzone,Zahrajte si teraz 05. sériu,COD: Black Ops 6 & Warzone
SV-SE,COD: Black Ops 6 & Warzone,Spela säsong 05,COD: Black Ops 6 & Warzone
TR-TR,COD: Black Ops 6 & Warzone,05. sezonu hemen oynayın,COD: Black Ops 6 & Warzone
UK-UA,COD: Black Ops 6 & Warzone,Грайте сезон 05 вже зараз,COD: Black Ops 6 & Warzone
ZH-HK,COD: Black Ops 6 & Warzone,立即暢玩第 05 季,COD: Black Ops 6 & Warzone
ZH-SG,COD: Black Ops 6 & Warzone,立即畅玩第 05 赛季,COD: Black Ops 6 & Warzone
ZH-TW,COD: Black Ops 6 & Warzone,立即暢玩第 05 季,COD: Black Ops 6 & Warzone
