Locale,title,description,accessibilityString
Locale,Title,Description,Accessibility String
AR-AE,Rematch,متوفرة الآن,Rematch
AR-SA,Rematch,متوفرة الآن,Rematch
CS-CZ,Rematch,K dispozici již nyní,Rematch
DA-DK,Rematch,Fås nu,Rematch
DE-AT,Rematch,Jetzt erhältlich,Rematch
DE-CH,Rematch,Jetzt erhältlich,Rematch
DE-DE,Rematch,Jetzt erhältlich,Rematch
EL-GR,Rematch,Διαθέσιμο τώρα,Rematch
EN-AE,Rematch,Available now,Rematch
EN-AU,Rematch,Available now,Rematch
EN-CA,Rematch,Available now,Rematch
EN-CZ,Rematch,Available now,Rematch
EN-GB,Rematch,Available now,Rematch
EN-GR,Rematch,Available now,Rematch
EN-HK,Rematch,Available now,Rematch
EN-HU,Rematch,Available now,Rematch
EN-IE,Rematch,Available now,Rematch
EN-IL,Rematch,Available now,Rematch
EN-IN,Rematch,Available now,Rematch
EN-NZ,Rematch,Available now,Rematch
EN-SA,Rematch,Available now,Rematch
EN-SG,Rematch,Available now,Rematch
EN-SK,Rematch,Available now,Rematch
EN-US,Rematch,Available now,Rematch
EN-ZA,Rematch,Available now,Rematch
ES-AR,Rematch,Ya disponible,Rematch
ES-CL,Rematch,Ya disponible,Rematch
ES-CO,Rematch,Ya disponible,Rematch
ES-ES,Rematch,Disponible ya,Rematch
ES-MX,Rematch,Ya disponible,Rematch
FI-FI,Rematch,Nyt saatavilla,Rematch
FR-BE,Rematch,Disponible dès maintenant,Rematch
FR-CA,Rematch,Disponible dès maintenant,Rematch
FR-CH,Rematch,Disponible dès maintenant,Rematch
FR-FR,Rematch,Disponible dès maintenant,Rematch
HE-IL,Rematch,זמין כעת,Rematch
HU-HU,Rematch,Már megjelent,Rematch
INVARIANTCULTURE,Rematch,Available now,Rematch
IT-CH,Rematch,Ora disponibile,Rematch
IT-IT,Rematch,Ora disponibile,Rematch
JA-JP,Rematch,好評発売中,Rematch
KO-KR,Rematch,지금 구매 가능,Rematch
NB-NO,Rematch,Tilgjengelig nå,Rematch
NL-BE,Rematch,Nu beschikbaar,Rematch
NL-NL,Rematch,Nu beschikbaar,Rematch
PL-PL,Rematch,Już w sklepach,Rematch
PT-BR,Rematch,Disponível agora,Rematch
PT-PT,Rematch,Já está disponível,Rematch
SK-SK,Rematch,Teraz k dispozícii,Rematch
SV-SE,Rematch,Tillgänglig nu,Rematch
TR-TR,Rematch,Şimdi mevcut,Rematch
UK-UA,Rematch,Доступно зараз,Rematch
ZH-HK,Rematch,現已推出,Rematch
ZH-SG,Rematch,现已有售,Rematch
ZH-TW,Rematch,現已推出,Rematch
