Language,Country,LanguageLocale
AR,AE,AR-AE
AR,SA,AR-SA
CS,CZ,CS-CZ
DA,DK,DA-DK
DE,AT,DE-AT
DE,CH,DE-CH
DE,DE,DE-DE
EL,GR,EL-GR
EN,AE,EN-AE
EN,AU,EN-AU
EN,CA,EN-CA
EN,CZ,EN-CZ
EN,GB,EN-GB
EN,GR,EN-GR
EN,HK,EN-HK
EN,HU,EN-HU
EN,IE,EN-IE
EN,IL,EN-IL
EN,IN,EN-IN
EN,NZ,EN-NZ
EN,SA,EN-SA
EN,SG,EN-SG
EN,SK,EN-SK
EN,US,EN-US
EN,ZA,EN-ZA
ES,AR,ES-AR
ES,CL,ES-CL
ES,CO,ES-CO
ES,ES,ES-ES
ES,MX,ES-MX
FI,FI,FI-FI
FR,BE,FR-BE
FR,CA,FR-CA
FR,CH,FR-CH
FR,FR,FR-FR
HE,IL,HE-IL
HU,HU,HU-HU
IT,CH,IT-CH
IT,IT,IT-IT
JA,JP,JA-JP
KO,KR,KO-KR
NB,NO,NB-NO
NL,BE,NL-BE
NL,NL,NL-NL
PL,PL,PL-PL
PT,BR,PT-BR
PT,PT,PT-PT
SK,SK,SK-SK
SV,SE,SV-SE
TR,TR,TR-TR
UK,UA,UK-UA
ZH-HANT,HK,ZH-HK
ZH-HANS,SG,ZH-SG
ZH-HANT,TW,ZH-TW
