"Locale","title","description","accessibilityString"
"Locale","Title","Description","Accessibility String"
"AR-AE","Call of Duty: Black Ops 6 وWarzone","مارس الموسم 05 الآن","Call of Duty: Black Ops 6 وWarzone"
"AR-SA","Call of Duty: Black Ops 6 وWarzone","مارس الموسم 05 الآن","Call of Duty: Black Ops 6 وWarzone"
"CS-CZ","Call of Duty: Black Ops 6 a Warzone","Zahrajte si nyní 05. sezónu","Call of Duty: Black Ops 6 a Warzone"
"DA-DK","Call of Duty: Black Ops 6 og Warzone","Spil sæson 05 nu Reloaded","Call of Duty: Black Ops 6 og Warzone"
"DE-AT","Call of Duty: Black Ops 6 und Warzone","Spiele jetzt Saison 5 Reloaded","Call of Duty: Black Ops 6 und Warzone"
"DE-CH","Call of Duty: Black Ops 6 und Warzone","Spiele jetzt Saison 5 Reloaded","Call of Duty: Black Ops 6 und Warzone"
"DE-DE","Call of Duty: Black Ops 6 und Warzone","Spiele jetzt Saison 5 Reloaded","Call of Duty: Black Ops 6 und Warzone"
"EL-GR","Call of Duty: Black Ops 6 και Warzone","Παίξτε τη Σεζόν 05 τώρα","Call of Duty: Black Ops 6 και Warzone"
"EN-AE","Call of Duty: Black Ops 6 and Warzone","Play Season 05 Reloaded","Call of Duty: Black Ops 6 and Warzone"
"EN-AU","Call of Duty: Black Ops 6 and Warzone","Play Season 05 Reloaded","Call of Duty: Black Ops 6 and Warzone"
"EN-CA","Call of Duty: Black Ops 6 and Warzone","Play Season 05 Reloaded","Call of Duty: Black Ops 6 and Warzone"
"EN-CZ","Call of Duty: Black Ops 6 and Warzone","Play Season 05 Reloaded","Call of Duty: Black Ops 6 and Warzone"
"EN-GB","Call of Duty: Black Ops 6 and Warzone","Play Season 05 Reloaded","Call of Duty: Black Ops 6 and Warzone"
"EN-GR","Call of Duty: Black Ops 6 and Warzone","Play Season 05 Reloaded","Call of Duty: Black Ops 6 and Warzone"
"EN-HK","Call of Duty: Black Ops 6 and Warzone","Play Season 05 Reloaded","Call of Duty: Black Ops 6 and Warzone"
"EN-HU","Call of Duty: Black Ops 6 and Warzone","Play Season 05 Reloaded","Call of Duty: Black Ops 6 and Warzone"
"EN-IE","Call of Duty: Black Ops 6 and Warzone","Play Season 05 Reloaded","Call of Duty: Black Ops 6 and Warzone"
"EN-IL","Call of Duty: Black Ops 6 and Warzone","Play Season 05 Reloaded","Call of Duty: Black Ops 6 and Warzone"
"EN-IN","Call of Duty: Black Ops 6 and Warzone","Play Season 05 Reloaded","Call of Duty: Black Ops 6 and Warzone"
"EN-NZ","Call of Duty: Black Ops 6 and Warzone","Play Season 05 Reloaded","Call of Duty: Black Ops 6 and Warzone"
"EN-SA","Call of Duty: Black Ops 6 and Warzone","Play Season 05 Reloaded","Call of Duty: Black Ops 6 and Warzone"
"EN-SG","Call of Duty: Black Ops 6 and Warzone","Play Season 05 Reloaded","Call of Duty: Black Ops 6 and Warzone"
"EN-SK","Call of Duty: Black Ops 6 and Warzone","Play Season 05 Reloaded","Call of Duty: Black Ops 6 and Warzone"
"EN-US","Call of Duty: Black Ops 6 and Warzone","Play Season 05 Reloaded","Call of Duty: Black Ops 6 and Warzone"
"EN-ZA","Call of Duty: Black Ops 6 and Warzone","Play Season 05 Reloaded","Call of Duty: Black Ops 6 and Warzone"
"ES-AR","Call of Duty: Black Ops 6 y Warzone","Juega a Temporada 5 Recargada","Call of Duty: Black Ops 6 y Warzone"
"ES-CL","Call of Duty: Black Ops 6 y Warzone","Juega a Temporada 5 Recargada","Call of Duty: Black Ops 6 y Warzone"
