"Locale","items/0/title","items/0/subtitle","items/0/narratorText"
"Locale","Title","Subtitle","Narrator Text"
"AR-AE","THQ Nordic & HandyGames","وفر حتى 75%",""
"AR-SA","THQ Nordic & HandyGames","وفر حتى 75%",""
"CS-CZ","THQ Nordic & HandyGames","Ušetřete až 75 %",""
"DA-DK","THQ Nordic og HandyGames","Spar op til 75 %",""
"DE-AT","THQ Nordic und HandyGames","Spare bis zu 75 %",""
"DE-CH","THQ Nordic und HandyGames","Spare bis zu 75 %",""
"DE-DE","THQ Nordic und HandyGames","Spare bis zu 75 %",""
"EL-GR","THQ Nordic & HandyGames","Εξοικονομήστε έως 75%",""
"EN-US","THQ Nordic & HandyGames","Save up to 75%",""
"EN-AE","THQ Nordic & HandyGames","Save up to 75%",""
"EN-AU","THQ Nordic & HandyGames","Save up to 75%",""
"EN-CA","THQ Nordic & HandyGames","Save up to 75%",""
"EN-CZ","THQ Nordic & HandyGames","Save up to 75%",""
"EN-GB","THQ Nordic & HandyGames","Save up to 75%",""
"EN-GR","THQ Nordic & HandyGames","Save up to 75%",""
"EN-HK","THQ Nordic & HandyGames","Save up to 75%",""
"EN-HU","THQ Nordic & HandyGames","Save up to 75%",""
"EN-IE","THQ Nordic & HandyGames","Save up to 75%",""
"EN-IL","THQ Nordic & HandyGames","Save up to 75%",""
"EN-IN","THQ Nordic & HandyGames","Save up to 75%",""
"EN-NZ","THQ Nordic & HandyGames","Save up to 75%",""
"EN-SA","THQ Nordic & HandyGames","Save up to 75%",""
"EN-SG","THQ Nordic & HandyGames","Save up to 75%",""
"EN-SK","THQ Nordic & HandyGames","Save up to 75%",""
"EN-ZA","THQ Nordic & HandyGames","Save up to 75%",""
"ES-AR","THQ Nordic y HandyGames","Ahorra hasta 75%",""
"ES-CL","THQ Nordic y HandyGames","Ahorra hasta 75%",""
"ES-CO","THQ Nordic y HandyGames","Ahorra hasta 75%",""
"ES-ES","THQ Nordic y HandyGames","Ahorra hasta un 75%",""
"ES-MX","THQ Nordic y HandyGames","Ahorra hasta 75%",""
"FI-FI","THQ Nordic & HandyGames","Säästä jopa 75 %",""
"FR-BE","THQ Nordic & HandyGames","Jusqu’à 75 % de réduction",""
"FR-CA","THQ Nordic et HandyGames","Économisez jusqu’à 75 %",""
"FR-CH","THQ Nordic et HandyGames","Jusqu’à 75 % de réduction",""
"FR-FR","THQ Nordic et HandyGames","Jusqu’à 75 % de réduction",""
"HE-IL","משחקים של THQ Nordic & Handy","חסכו עד %75",""
"HU-HU","THQ Nordic- és HandyGames-akció","Spórolj akár 75%-ot",""
"IT-CH","THQ Nordic e HandyGames","Risparmia fino al 75%",""
"IT-IT","THQ Nordic e HandyGames","Risparmia fino al 75%",""
"JA-JP","THQ Nordic と HandyGames","最大 75% オフ",""
"KR-KO","THQ Nordic 및 HandyGames","최대 75%를 할인받으세요",""
"NB-NO","THQ Nordic og HandyGames","Spar opptil 75 %",""
"NL-BE","THQ Nordic en HandyGames","Bespaar tot wel 75%",""
"NL-NL","THQ Nordic en HandyGames","Bespaar tot wel 75%",""
"PL-PL","Wyprzedaż gier od THQ Nordic i HandyGames","Zaoszczędź nawet 75%",""
"PT-BR","THQ Nordic e HandyGames","Economize até 75%",""
"PT-PT","THQ Nordic e HandyGames","Poupa até 75%",""
"SK-SK","THQ Nordic a HandyGames","Ušetrite až 75 %",""
"SV-SE","THQ Nordic & HandyGames","Spara upp till 75 %",""
"TR-TR","THQ Nordic ve HandyGames","%75 tasarruf fırsatı",""
"UK-UA","THQ Nordic і HandyGames","Заощадьте до 75%",""
"ZH-HK","THQ Nordic 與 HandyGames 特賣","最多可省 75%",""
"ZH-SG","THQ 北欧和手持游戏","最多可省 75%",""
"ZH-TW","THQ Nordic 與 HandyGames 特賣","最多可省 75%",""
