7,"Phoenix - XBL Item M2 (1068x600, 694x758)",,,,,,,,,,,,,,,,,,
Griffin Consolidated Home Spotlight,,,,,,,,,,,,,,,,,,,
Priority,CX ADO Ticket,Title,ID,Start Date,End Date (if not full week),EN Title,EN subhead,LOC,Image Link,Iris Targeting,Frequency,Note,Prod status,,,,,,
1,CCX Campaign Request 12344 NBA 2K26 | Early Access Launch (Series X|S) | Rest of Early Access Period,NBA 2K26 Leave No Doubt Edition,9P69BPSQT525 ,2-Sep,4-Sep,NBA 2K26 Leave No Doubt Edition,Tip off now with Leave No Doubt Edition,"FR: Place à l’entre-deux avec l’édition Leave No Doubt
DE: Jetzt mit der Leave No Doubt Edition loslegen",398475 NBA 2K26,"[Iris] Real Time Signal - MSA Age Group for NGP != Child (e.g. Opted Out)
[Iris] Real Time Signal - XBL Content Restrictions - Restrict Promotional Content = False
[Iris] Product Ownership Value Segment (Users Who Own Product X) <C> NBA 2K26 Standard Edition (9MZMH0JSHJQL)  (9PJ2RVRC0L1X)
[Iris] Product Ownership Value Segment (Users Who Own Product X) <NC> NBA 2K26 Leave No Doubt Edition (9P69BPSQT525) (9PDLDD13QB7X)",Regular 4x/daily,nba2k26 dedupe,Ready for Review (M2 & M3),,,,,,
2,CCX Campaign Request 12231 NBA 2K26 | Launch + Takeover,NBA 2K26 Leave No Doubt Edition,9PDLDD13QB7X,5-Sep,6-Sep,NBA 2K26 Leave No Doubt Edition,"Ball over everything
","FR: La basket avant tout
DE: Der Ball ist König",398475 NBA 2K26,"[Iris] Real Time Signal - MSA Age Group for NGP != Child (e.g. Opted Out)
[Iris] Real Time Signal - XBL Content Restrictions - Restrict Promotional Content = False
[Iris] Product Ownership Value Segment (Users Who Own Product X) <C> NBA 2K26 Standard Edition (9MZMH0JSHJQL)  (9PJ2RVRC0L1X)
[Iris] Product Ownership Value Segment (Users Who Own Product X) <NC> NBA 2K26 Leave No Doubt Edition (9P69BPSQT525) (9PDLDD13QB7X)",Regular 4x/daily,"No take over
nba2k26 dedupe",Ready for Review (M2 & M3),,,,,,
3,CCX Campaign Request 12231 NBA 2K26 | Launch + Takeover,NBA 2K26 Standard Edition,9PJ2RVRC0L1X,7-Sep,8-Sep,NBA 2K26 Standard Edition,"Ball over everything
","FR: La basket avant tout
DE: Der Ball ist König",ICT,"[Iris] Real Time Signal - MSA Age Group for NGP != Child (e.g. Opted Out)
[Iris] Real Time Signal - XBL Content Restrictions - Restrict Promotional Content = False
[Iris] Product Ownership Value Segment (Users Who Own Product X) <NC> NBA 2K26 Preorder XS (9P69BPSQT525), NBA 2K26 Leave No Doubt Ed SX (9PDLDD13QB7X), NBA 2K26 Standard Edition (9PJ2RVRC0L1X), NBA 2K26 Preorder XB1 (9MZMH0JSHJQL), NBA 2K26 Superstar Preorder (9N241WVT3X71), NBA 2K26 Superstar Edition (9NTMWS185JZT)",Regular 4x/daily,"No take over
nba2k26 dedupe",Ready for Review (M2 & M3),,,,,,
4,CCX Campaign Request 12193 Dorsal Launch (Pri 0) Week 1,Hollow Knight: Silksong,9n116v0599hb,4-Sep,8-Sep,Hollow Knight: Silksong,The wait is over,,ICT,"[Iris] Real Time Signal - MSA Age Group for NGP != Child (e.g. Opted Out)
[Iris] Real Time Signal - XBL Content Restrictions - Restrict Promotional Content = False",Regular 4x/daily,,Ready for Review (M2 & M3),,,,,,
5,CCX Campaign Request 12323 Helldivers 2 (9/2-9/8),Helldivers 2,9P4H9CTBWV3G,2-Sep,8-Sep,Helldivers 2,Buy now,,ICT,"[Iris] Real Time Signal - MSA Age Group for NGP != Child (e.g. Opted Out)
[Iris] Real Time Signal - XBL Content Restrictions - Restrict Promotional Content = False",Regular 4x/daily,,Ready for Review (M2 & M3),,,,,,
6,CCX Campaign Request 12015 Indiana Jones ATGC - The Order of the Giants DLC - Launch (console),Indiana Jones ATGC - The Order of the Giants DLC,9P0SWLC2F1XJ (prem ed),4-Sep,8-Sep,Indiana Jones DLC,Buy now,,ICT,"
[Iris] Real Time Signal - MSA Age Group for NGP != Child (e.g. Opted Out)
[Iris] Real Time Signal - XBL Content Restrictions - Restrict Promotional Content = False
Target NOT Base Game owner (9N8FQ28Z6QX3) and NOT Premium owner (9P0SWLC2F1XJ)
NOT Game Pass",Regular 4x/daily,,Ready for Review (M2 & M3),,,,,,
7,CCX Campaign Request 12015 Indiana Jones ATGC - The Order of the Giants DLC - Launch (console),Indiana Jones ATGC - The Order of the Giants DLC,9n4t0r0hqj9j (Premium Upgrade),4-Sep,8-Sep,,,,ICT,"
[Iris] Real Time Signal - MSA Age Group for NGP != Child (e.g. Opted Out)
[Iris] Real Time Signal - XBL Content Restrictions - Restrict Promotional Content = False
Target Base Game owner (9N8FQ28Z6QX3) AND Game Pass members",Regular 4x/daily,,Ready for Review (M2 & M3),,,,,,
8,CCX Campaign Request 12019 Call of Duty - BO6 S5.5 PSM Collection Update/Promotion,Call of Duty: Warzone & Black Ops 6,ms-windows-store://collection/?Collectionid=CampsiteChannel.Games.Primary.CODBO6andWZPSM,9/4/2025 10:00,8-Sep,Call of Duty: Warzone & Black Ops 6,Season 05 Reloaded?,COD Play S05Reloaded.xlsx,ICT,"[Iris] Real Time Signal - Locale Country != Russia, Kuwait and Qatar
[Iris] Real Time Signal - MSA Age Group for NGP != Child (e.g. Opted Out)
[Iris] Real Time Signal - XBL Content Restrictions - Restrict Promotional Content = False
[Iris] Real Time Signal - XBL Content Restrictions - Max Age Rating >= 18
Users Who've Played Application X (ApplicationId) <C> Call of Duty - MWII - Cross Gen Bundle (2001700854)","Takeover 2x/day ?
Dedupe: callofduty",note 10 am pub,Ready for Review (M2 & M3),,,,,,
9,CCX Campaign Request 12102 Summer Spotlight - Week 4 (Sep 2 - Sep 3),Summer Spotlight,"CampsiteChannel.Games.Campaign.2025.SummerSpotlight0812

",2-Sep,3-Sep,Collection Task 12112 MSOX | GAMES | UPDATE | CAMPAIGN | Summer Spotlight 2025 - Week 4 (update IDs and art) | QC - 9/1 | Vanity,,,Box Art Week 4 (9.1-9.8),"[Iris] Real Time Signal - MSA Age Group for NGP != Child (e.g. Opted Out)
[Iris] Real Time Signal - XBL Content Restrictions - Restrict Promotional Content = False",Regular 4x/daily,,Ready for Review (M2 & M3),,,,,,
10,CCX Campaign Request 12453 Summer Spotlight - Week 4.5 (Sep 4 - Sep 8),Summer Spotlight,"CampsiteChannel.Games.Campaign.2025.SummerSpotlight0812

",4-Sep,8-Sep,Collection Task 12500 MSOX | GAMES | UPDATE | CAMPAIGN | *Rush!* | Summer Spotlight 2025 - Week 4.5 (update IDs and art) - QC 9/3,,,Task 401616 RUSH [Games]: Tile Treatment: MSOW/Garrison Summer Spotlight 2025 |,"[Iris] Real Time Signal - MSA Age Group for NGP != Child (e.g. Opted Out)
[Iris] Real Time Signal - XBL Content Restrictions - Restrict Promotional Content = False",Regular 4x/daily,,pending assets,,,,,,
11,CCX Campaign Request 12073 Ubisoft Publisher Sale - First full week,Ubisoft Publisher Sale,CampsiteChannel.Games.Sale.2025.UbisoftPublisherSale0901,9/2/2025,9/8/2025,Collection Task 12203 MSOX | GAMES | SALE | NEW | Ubisoft Publisher Sale | Publish - 9/1 | Vanity Publish - 8/29,,,ICT,"[Iris] Real Time Signal - MSA Age Group for NGP != Child (e.g. Opted Out)
[Iris] Real Time Signal - XBL Content Restrictions - Restrict Promotional Content = False",Regular 4x/daily,,Ready for Review (M2 & M3),,,,,,
9,CCX Campaign Request 12078 Bundles Sale,Bundle Sale,ms-windows-store://collection/?CollectionId=CampsiteChannel.Games.Sale.2025.BundlesSale0902,9/2/2025,9/8/2025,Collection Task 12479 Games | MSOX | NEW | WW | Bundles sale,,,Dash,"[Iris] Real Time Signal - MSA Age Group for NGP != Child (e.g. Opted Out)
[Iris] Real Time Signal - XBL Content Restrictions - Restrict Promotional Content = False",Regular 4x/daily,,Ready for Review (M2 & M3),,,,,,
13,CCX Campaign Request 12159 ID@Xbox Action Adventure Sale,Bundle Sale,ms-windows-store://collection/?CollectionId=CampsiteChannel.Games.Sale.2025.IDXboxActionAdventureSale0902,9/2/2025,9/8/2025,Collection Task 12437 Games | MSOX/Griffin/Xbox.com | NEW | WW | ID@Xbox Action Adventure Sale,,,Dash,"[Iris] Real Time Signal - MSA Age Group for NGP != Child (e.g. Opted Out)
[Iris] Real Time Signal - XBL Content Restrictions - Restrict Promotional Content = False",Regular 4x/daily,,Ready for Review (M2 & M3),,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
