Locale,title,description,accessibilityString,items/0/title,items/0/subtitle,items/0/narratorText
AR-AE,Call of Duty: Black Ops 6 وWarzone,مارس الموسم 05 الآن,Call of Duty: Black Ops 6 وWarzone,Test,يتوفر الآن,test
AR-SA,Call of Duty: Black Ops 6 وWarzone,مارس الموسم 05 الآن,Call of Duty: Black Ops 6 وWarzone,Test,يتوفر الآن,test
CS-CZ,Call of Duty: Black Ops 6 a Warzone,Zahrajte si nyní 05. sezónu,Call of Duty: Black Ops 6 a Warzone,Test,Nyní k dispozici,test
DA-DK,Call of Duty: Black Ops 6 og Warzone,Spil sæson 05 nu Reloaded,Call of Duty: Black Ops 6 og Warzone,Test,Fås nu,test
DE-AT,Call of Duty: Black Ops 6 und Warzone,Spiele jetzt Saison 5 Reloaded,Call of Duty: Black Ops 6 und Warzone,Test,Jetzt verfügbar,test
DE-CH,Call of Duty: Black Ops 6 und Warzone,Spiele jetzt Saison 5 Reloaded,Call of Duty: Black Ops 6 und Warzone,Test,Jetzt verfügbar,test
DE-DE,Call of Duty: Black Ops 6 und Warzone,Spiele jetzt Saison 5 Reloaded,Call of Duty: Black Ops 6 und Warzone,Test,Jetzt verfügbar,test
EL-GR,Call of Duty: Black Ops 6 και Warzone,Παίξτε τη Σεζόν 05 τώρα,Call of Duty: Black Ops 6 και Warzone,Test,Διαθέσιμο τώρα,test
EN-AE,Call of Duty: Black Ops 6 and Warzone,Play Season 05 Reloaded,Call of Duty: Black Ops 6 and Warzone,Test,Available now,test
EN-AU,Call of Duty: Black Ops 6 and Warzone,Play Season 05 Reloaded,Call of Duty: Black Ops 6 and Warzone,Test,Available now,test
EN-CA,Call of Duty: Black Ops 6 and Warzone,Play Season 05 Reloaded,Call of Duty: Black Ops 6 and Warzone,Test,Available now,test
EN-CZ,Call of Duty: Black Ops 6 and Warzone,Play Season 05 Reloaded,Call of Duty: Black Ops 6 and Warzone,Test,Available now,test
EN-GB,Call of Duty: Black Ops 6 and Warzone,Play Season 05 Reloaded,Call of Duty: Black Ops 6 and Warzone,Test,Available now,test
EN-GR,Call of Duty: Black Ops 6 and Warzone,Play Season 05 Reloaded,Call of Duty: Black Ops 6 and Warzone,Test,Available now,test
EN-HK,Call of Duty: Black Ops 6 and Warzone,Play Season 05 Reloaded,Call of Duty: Black Ops 6 and Warzone,Test,Available now,test
EN-HU,Call of Duty: Black Ops 6 and Warzone,Play Season 05 Reloaded,Call of Duty: Black Ops 6 and Warzone,Test,Available now,test
EN-IE,Call of Duty: Black Ops 6 and Warzone,Play Season 05 Reloaded,Call of Duty: Black Ops 6 and Warzone,Test,Available now,test
EN-IL,Call of Duty: Black Ops 6 and Warzone,Play Season 05 Reloaded,Call of Duty: Black Ops 6 and Warzone,Test,Available now,test
EN-IN,Call of Duty: Black Ops 6 and Warzone,Play Season 05 Reloaded,Call of Duty: Black Ops 6 and Warzone,Test,Available now,test
EN-NZ,Call of Duty: Black Ops 6 and Warzone,Play Season 05 Reloaded,Call of Duty: Black Ops 6 and Warzone,Test,Available now,test
EN-SA,Call of Duty: Black Ops 6 and Warzone,Play Season 05 Reloaded,Call of Duty: Black Ops 6 and Warzone,Test,Available now,test
EN-SG,Call of Duty: Black Ops 6 and Warzone,Play Season 05 Reloaded,Call of Duty: Black Ops 6 and Warzone,Test,Available now,test
EN-SK,Call of Duty: Black Ops 6 and Warzone,Play Season 05 Reloaded,Call of Duty: Black Ops 6 and Warzone,Test,Available now,test
EN-US,Call of Duty: Black Ops 6 and Warzone,Play Season 05 Reloaded,Call of Duty: Black Ops 6 and Warzone,Test,Available now,test
EN-ZA,Call of Duty: Black Ops 6 and Warzone,Play Season 05 Reloaded,Call of Duty: Black Ops 6 and Warzone,Test,Available now,test
ES-AR,Call of Duty: Black Ops 6 y Warzone,Juega a Temporada 5 Recargada,Call of Duty: Black Ops 6 y Warzone,Test,Disponible ahora,test
ES-CL,Call of Duty: Black Ops 6 y Warzone,Juega a Temporada 5 Recargada,Call of Duty: Black Ops 6 y Warzone,Test,Disponible ahora,test
ES-CO,Call of Duty: Black Ops 6 y Warzone,Juega a Temporada 5 Recargada,Call of Duty: Black Ops 6 y Warzone,Test,Disponible ahora,test
ES-ES,Call of Duty: Black Ops 6 i Warzone,Juega a Temporada 5 Recargada,Call of Duty: Black Ops 6 i Warzone,Test,Disponible ahora,test
ES-MX,Call of Duty: Black Ops 6 y Warzone,Juega a Temporada 5 Recargada,Call of Duty: Black Ops 6 y Warzone,Test,Disponible ahora,test
FI-FI,Call of Duty: Black Ops 6 ja Warzone,Pelaa Kauden 05 Reloaded nyt,Call of Duty: Black Ops 6 ja Warzone,Test,Saatavilla nyt,test
FR-BE,Call of Duty: Black Ops 6 et Warzone,Jouez à La Saison 5 Rechargée,Call of Duty: Black Ops 6 et Warzone,Test,Disponible maintenant,test
FR-CA,Call of Duty: Black Ops 6 et Warzone,Jouez à La Saison 5 Rechargée,Call of Duty: Black Ops 6 et Warzone,Test,Disponible maintenant,test
FR-CH,Call of Duty: Black Ops 6 et Warzone,Jouez à La Saison 5 Rechargée,Call of Duty: Black Ops 6 et Warzone,Test,Disponible maintenant,test
FR-FR,Call of Duty: Black Ops 6 et Warzone,Jouez à La Saison 5 Rechargée,Call of Duty: Black Ops 6 et Warzone,Test,Disponible maintenant,test
HE-IL,Call of Duty‏: Black Ops 6 ו- Warzone,שחק ב-Season 05 Reloaded עכשיו,Call of Duty‏: Black Ops 6 ו- Warzone,Test,זמין עכשיו,test
HU-HU,Call of Duty: Black Ops 6 és Warzone,Játssz a 05. évaddal most,Call of Duty: Black Ops 6 és Warzone,Test,Most elérhető,test
INVARIANTCULTURE,Call of Duty: Black Ops 6 and Warzone,Play Season 05 Reloaded,Call of Duty: Black Ops 6 and Warzone,Test,Available now,test
IT-CH,Call of Duty: Black Ops 6 e Warzone,Gioca la Stagione 5 Furiosa,Call of Duty: Black Ops 6 e Warzone,Test,Disponibile ora,test
IT-IT,Call of Duty: Black Ops 6 e Warzone,Gioca la Stagione 5 Furiosa,Call of Duty: Black Ops 6 e Warzone,Test,Disponibile ora,test
JA-JP,Call of Duty: Black Ops 6 and Warzone,シーズン 05 を今すぐプレイ,Call of Duty: Black Ops 6 and Warzone,Test,今すぐ利用可能,test
KO-KR,Call of Duty: Black Ops 6 및 Warzone,지금 시즌 05 플레이하기,Call of Duty: Black Ops 6 및 Warzone,Test,지금 이용 가능,test
NB-NO,Call of Duty: Black Ops 6 og Warzone,Spill sesong 05 Reloaded nå,Call of Duty: Black Ops 6 og Warzone,Test,Tilgjengelig nå,test
NL-BE,Call of Duty: Black Ops 6 en Warzone,Speel nu seizoen 05,Call of Duty: Black Ops 6 en Warzone,Test,Nu beschikbaar,test
NL-NL,Call of Duty: Black Ops 6 en Warzone,Speel nu seizoen 05,Call of Duty: Black Ops 6 en Warzone,Test,Nu beschikbaar,test
PL-PL,Call of Duty: Black Ops 6 i Warzone,Graj w Sezon 05 już teraz,Call of Duty: Black Ops 6 i Warzone,Test,Dostępne teraz,test
PT-BR,Call of Duty: Black Ops 6 e Warzone,Jogue a Temporada 05,Call of Duty: Black Ops 6 e Warzone,Test,Disponível agora,test
PT-PT,Call of Duty: Black Ops 6 e Warzone,Joga a Temporada 05 agora,Call of Duty: Black Ops 6 e Warzone,Test,Disponível agora,test
SK-SK,Call of Duty: Black Ops 6 a Warzone,Zahrajte si teraz 05. sériu,Call of Duty: Black Ops 6 a Warzone,Test,Dostupné teraz,test
SV-SE,Call of Duty: Black Ops 6 och Warzone,Spela säsong 05: Reloaded,Call of Duty: Black Ops 6 och Warzone,Test,Tillgänglig nu,test
TR-TR,Call of Duty: Black Ops 6 ve Warzone,05. sezonu hemen oynayın,Call of Duty: Black Ops 6 ve Warzone,Test,Şimdi mevcut,test
UK-UA,Call of Duty: Black Ops 6 і Warzone,Грайте сезон 05 вже зараз,Call of Duty: Black Ops 6 і Warzone,Test,Available now,test
ZH-HK,《使命召唤：黑色行动 6》及《使命召唤：战争地带》,立即畅玩第 05 赛季,《使命召唤：黑色行动 6》及《使命召唤：战争地带》,Test,現已推出,test
ZH-SG,《使命召唤：黑色行动 6》及《使命召唤：战争地带》,立即畅玩第 05 赛季,《使命召唤：黑色行动 6》及《使命召唤：战争地带》,Test,Available now,test
ZH-TW,《決勝時刻：黑色行動 6》和《使命召喚：戰爭地帶》,立即暢玩第 05 季,《決勝時刻：黑色行動 6》和《使命召喚：戰爭地帶》,Test,現已推出,test
