Locale,items/0/title,items/0/subtitle,items/0/narratorText
AR-AE,Gears of War: Reloaded,متوفرة الآن,Gears of War: Reloaded
AR-SA,Gears of War: Reloaded,متوفرة الآن,Gears of War: Reloaded
CS-CZ,Gears of War: Reloaded,K dispozici již nyní,Gears of War: Reloaded
DA-DK,Gears of War: Reloaded,Fås nu,Gears of War: Reloaded
DE-AT,Gears of War: Reloaded,Jetzt erhältlich,Gears of War: Reloaded
DE-CH,Gears of War: Reloaded,Jetzt erhältlich,Gears of War: Reloaded
DE-DE,Gears of War: Reloaded,Jetzt erhältlich,Gears of War: Reloaded
EL-GR,Gears of War: Reloaded,Διαθέσιμο τώρα,Gears of War: Reloaded
EN-AE,Gears of War: Reloaded,Now available,Gears of War: Reloaded
EN-AU,Gears of War: Reloaded,Now available,Gears of War: Reloaded
EN-CA,Gears of War: Reloaded,Now available,Gears of War: Reloaded
EN-CZ,Gears of War: Reloaded,Now available,Gears of War: Reloaded
EN-GB,Gears of War: Reloaded,Now available,Gears of War: Reloaded
EN-GR,Gears of War: Reloaded,Now available,Gears of War: Reloaded
EN-HK,Gears of War: Reloaded,Now available,Gears of War: Reloaded
EN-HU,Gears of War: Reloaded,Now available,Gears of War: Reloaded
EN-IE,Gears of War: Reloaded,Now available,Gears of War: Reloaded
EN-IL,Gears of War: Reloaded,Now available,Gears of War: Reloaded
EN-IN,Gears of War: Reloaded,Now available,Gears of War: Reloaded
EN-NZ,Gears of War: Reloaded,Now available,Gears of War: Reloaded
EN-SA,Gears of War: Reloaded,Now available,Gears of War: Reloaded
EN-SG,Gears of War: Reloaded,Now available,Gears of War: Reloaded
EN-SK,Gears of War: Reloaded,Now available,Gears of War: Reloaded
EN-US,Gears of War: Reloaded,Now available,Gears of War: Reloaded
EN-ZA,Gears of War: Reloaded,Now available,Gears of War: Reloaded
ES-AR,Gears of War: Reloaded,Ya disponible,Gears of War: Reloaded
ES-CL,Gears of War: Reloaded,Ya disponible,Gears of War: Reloaded
ES-CO,Gears of War: Reloaded,Ya disponible,Gears of War: Reloaded
ES-ES,Gears of War: Reloaded,Disponible ya,Gears of War: Reloaded
ES-MX,Gears of War: Reloaded,Ya disponible,Gears of War: Reloaded
FI-FI,Gears of War: Reloaded,Nyt saatavilla,Gears of War: Reloaded
FR-BE,Gears of War: Reloaded,Disponible dès maintenant,Gears of War: Reloaded
FR-CA,Gears of War: Reloaded,Disponible dès maintenant,Gears of War: Reloaded
FR-CH,Gears of War: Reloaded,Disponible dès maintenant,Gears of War: Reloaded
FR-FR,Gears of War: Reloaded,Disponible dès maintenant,Gears of War: Reloaded
HE-IL,Gears of War: Reloaded,זמין כעת,Gears of War: Reloaded
HU-HU,Gears of War: Reloaded,Már megjelent,Gears of War: Reloaded
IT-CH,Gears of War: Reloaded,Ora disponibile,Gears of War: Reloaded
IT-IT,Gears of War: Reloaded,Ora disponibile,Gears of War: Reloaded
JA-JP,Gears of War: Reloaded,好評発売中,Gears of War: Reloaded
KO-KR,Gears of War: Reloaded,지금 구매 가능,Gears of War: Reloaded
NB-NO,Gears of War: Reloaded,Tilgjengelig nå,Gears of War: Reloaded
NL-BE,Gears of War: Reloaded,Nu beschikbaar,Gears of War: Reloaded
NL-NL,Gears of War: Reloaded,Nu beschikbaar,Gears of War: Reloaded
PL-PL,Gears of War: Reloaded,Już w sklepach,Gears of War: Reloaded
PT-BR,Gears of War: Reloaded,Disponível agora,Gears of War: Reloaded
PT-PT,Gears of War: Reloaded,Já está disponível,Gears of War: Reloaded
SK-SK,Gears of War: Reloaded,Teraz k dispozícii,Gears of War: Reloaded
SV-SE,Gears of War: Reloaded,Tillgänglig nu,Gears of War: Reloaded
TR-TR,Gears of War: Reloaded,Şimdi mevcut,Gears of War: Reloaded
UK-UA,Gears of War: Reloaded,Доступно зараз,Gears of War: Reloaded
ZH-HK,Gears of War: Reloaded,現已推出,Gears of War: Reloaded
ZH-SG,Gears of War: Reloaded,现已有售,Gears of War: Reloaded
ZH-TW,Gears of War: Reloaded,現已推出,Gears of War: Reloaded
