Locale,items/0/title,items/0/subtitle,items/0/narratorText
Locale,WWWWWWWWWWWWWWW,WWWWWWWWWWWWWWW,Narrator Text
AR-AE,Call of Duty: Black Ops 6 & Warzone,وفر 10% على BlackCell,
AR-SA,Call of Duty: Black Ops 6 & Warzone,وفر 10% على BlackCell,
CS-CZ,Call of Duty: Black Ops 6 & Warzone,Získejte 05. sezónu BlackCell,
DA-DK,Call of Duty: Black Ops 6 & Warzone,Hent sæson 05 BlackCell,
DE-AT,Call of Duty: Black Ops 6 & Warzone,Spare 10 % auf S05 BlackCell,
DE-CH,Call of Duty: Black Ops 6 & Warzone,Spare 10 % auf S05 BlackCell,
DE-DE,Call of Duty: Black Ops 6 & Warzone,Spare 10 % auf S05 BlackCell,
EL-GR,Call of Duty: Black Ops 6 & Warzone,Αποκτήστε τη Σεζόν 05 BlackCell,
EN-AE,Call of Duty: Black Ops 6 & Warzone,Save 10% on Season 05 BlackCell,
EN-AU,Call of Duty: Black Ops 6 & Warzone,Save 10% on Season 05 BlackCell,
EN-CA,Call of Duty: Black Ops 6 & Warzone,Save 10% on Season 05 BlackCell,
EN-CZ,Call of Duty: Black Ops 6 & Warzone,Save 10% on Season 05 BlackCell,
EN-GB,Call of Duty: Black Ops 6 & Warzone,Save 10% on Season 05 BlackCell,
EN-GR,Call of Duty: Black Ops 6 & Warzone,Save 10% on Season 05 BlackCell,
EN-HK,Call of Duty: Black Ops 6 & Warzone,Save 10% on Season 05 BlackCell,
EN-HU,Call of Duty: Black Ops 6 & Warzone,Save 10% on Season 05 BlackCell,
EN-IE,Call of Duty: Black Ops 6 & Warzone,Save 10% on Season 05 BlackCell,
EN-IL,Call of Duty: Black Ops 6 & Warzone,Save 10% on Season 05 BlackCell,
EN-IN,Call of Duty: Black Ops 6 & Warzone,Save 10% on Season 05 BlackCell,
EN-NZ,Call of Duty: Black Ops 6 & Warzone,Save 10% on Season 05 BlackCell,
EN-SA,Call of Duty: Black Ops 6 & Warzone,Save 10% on Season 05 BlackCell,
EN-SG,Call of Duty: Black Ops 6 & Warzone,Save 10% on Season 05 BlackCell,
EN-SK,Call of Duty: Black Ops 6 & Warzone,Save 10% on Season 05 BlackCell,
EN-US,Call of Duty: Black Ops 6 & Warzone,Save 10% on Season 05 BlackCell,
EN-ZA,Call of Duty: Black Ops 6 & Warzone,Save 10% on Season 05 BlackCell,
ES-AR,Call of Duty: Black Ops 6 & Warzone,Ahorra un 10% en BlackCell,
ES-CL,Call of Duty: Black Ops 6 & Warzone,Ahorra un 10% en BlackCell,
ES-CO,Call of Duty: Black Ops 6 & Warzone,Ahorra un 10% en BlackCell,
ES-ES,Call of Duty: Black Ops 6 & Warzone,Ahorra un 10% en BlackCell,
ES-MX,Call of Duty: Black Ops 6 & Warzone,Ahorra un 10% en BlackCell,
FI-FI,Call of Duty: Black Ops 6 & Warzone,Kausi 05 BlackCell - Säästä 10 %,
FR-BE,Call of Duty: Black Ops 6 & Warzone,La saison 05 BlackCell,
FR-CA,Call of Duty: Black Ops 6 & Warzone,La saison 05 de BlackCell,
FR-CH,Call of Duty: Black Ops 6 & Warzone,La saison 05 BlackCell,
FR-FR,Call of Duty: Black Ops 6 & Warzone,La saison 05 BlackCell,
HE-IL,Call of Duty: Black Ops 6 & Warzone,קבל את Season 05 BlackCell,
HU-HU,Call of Duty: Black Ops 6 & Warzone,BlackCell 05. évadját,
IT-CH,Call of Duty: Black Ops 6 & Warzone,Ottieni la stagione 05 BlackCell,
IT-IT,Call of Duty: Black Ops 6 & Warzone,Ottieni la stagione 05 BlackCell,
JA-JP,Call of Duty: Black Ops 6 & Warzone,シーズン 05 BlackCell をゲット,
KO-KR,Call of Duty: Black Ops 6 & Warzone,시즌 05 BlackCell 받기,
NB-NO,Call of Duty: Black Ops 6 & Warzone,Få sesong 05 BlackCell,
NL-BE,Call of Duty: Black Ops 6 & Warzone,Koop seizoen 05 BlackCell,
NL-NL,Call of Duty: Black Ops 6 & Warzone,Koop seizoen 05 BlackCell,
PL-PL,Call of Duty: Black Ops 6 & Warzone,Graj w Sezon 05 BlackCell,
PT-BR,Call of Duty: Black Ops 6 & Warzone,Temporada 05 do BlackCell,
PT-PT,Call of Duty: Black Ops 6 & Warzone,Obtém a Temporada 05 BlackCell,
SK-SK,Call of Duty: Black Ops 6 & Warzone,Získajte 05. sériu BlackCell,
SV-SE,Call of Duty: Black Ops 6 & Warzone,Skaffa säsong 05 BlackCell,
TR-TR,Call of Duty: Black Ops 6 & Warzone,05. Sezon için BlackCell alın,
UK-UA,Call of Duty: Black Ops 6 & Warzone,Отримайте сезон 05 BlackCell,
ZH-HK,Call of Duty: Black Ops 6 & Warzone,取得第 05 季 BlackCell,
ZH-SG,Call of Duty: Black Ops 6 & Warzone,入手黑色组织第 05 赛季,
ZH-TW,Call of Duty: Black Ops 6 & Warzone,取得第 05 季 BlackCell,
